Time	data
2019-02-05 10:57:02	22.4
2019-02-05 10:57:12	22.45
2019-02-05 10:57:32	22.4
2019-02-05 10:58:22	22.35
2019-02-05 10:59:13	22.4
2019-02-05 10:59:14	22.35
2019-02-05 11:00:02	22.4
2019-02-05 11:01:00	22.35
2019-02-05 11:01:02	22.4
2019-02-05 11:01:20	22.35
2019-02-05 11:01:29	22.4
2019-02-05 11:02:16	22.35
2019-02-05 11:03:55	22.3
2019-02-05 11:04:26	22.35
2019-02-05 11:05:20	22.3
2019-02-05 11:05:22	22.35
2019-02-05 11:05:33	22.3
2019-02-05 11:06:27	22.35
2019-02-05 11:06:29	22.3
2019-02-05 11:09:03	22.35
2019-02-05 11:09:08	22.3
2019-02-05 11:09:09	22.35
2019-02-05 11:09:44	22.3
2019-02-05 11:10:17	22.25
2019-02-05 11:11:51	22.2
2019-02-05 11:11:51	22.15
2019-02-05 11:12:08	22.1
2019-02-05 11:12:09	22.15
2019-02-05 11:12:53	22.2
2019-02-05 11:12:54	22.3
2019-02-05 11:13:06	22.2
2019-02-05 11:13:51	22.15
2019-02-05 11:15:28	22.1
2019-02-05 11:15:31	22.0
2019-02-05 11:15:36	21.95
2019-02-05 11:15:42	21.9
2019-02-05 11:15:43	21.95
2019-02-05 11:16:03	21.9
2019-02-05 11:16:07	21.85
2019-02-05 11:16:18	21.8
2019-02-05 11:16:21	21.85
2019-02-05 11:16:26	21.8
2019-02-05 11:17:09	21.85
2019-02-05 11:17:15	21.8
2019-02-05 11:17:16	21.85
2019-02-05 11:17:31	21.9
2019-02-05 11:17:32	21.85
2019-02-05 11:17:40	21.9
2019-02-05 11:17:42	21.85
2019-02-05 11:17:54	21.9
2019-02-05 11:18:06	21.85
2019-02-05 11:18:30	21.9
2019-02-05 11:18:52	21.95
2019-02-05 11:18:56	21.9
2019-02-05 11:18:59	21.95
2019-02-05 11:19:57	22.0
2019-02-05 11:20:12	21.95
2019-02-05 11:20:13	21.9
2019-02-05 11:20:29	21.95
2019-02-05 11:21:39	22.0
2019-02-05 11:21:58	22.05
2019-02-05 11:22:00	21.95
2019-02-05 11:22:03	22.0
2019-02-05 11:22:36	21.95
2019-02-05 11:23:27	22.05
2019-02-05 11:23:48	21.95
2019-02-05 11:24:42	22.05
2019-02-05 11:24:43	22.0
2019-02-05 11:25:35	22.05
2019-02-05 11:25:58	22.1
2019-02-05 11:26:00	22.05
2019-02-05 11:26:22	22.1
2019-02-05 11:27:15	22.05
2019-02-05 11:27:46	22.0
2019-02-05 11:29:17	21.95
2019-02-05 11:30:10	22.0
2019-02-05 11:30:13	21.9
2019-02-05 11:30:34	21.95
2019-02-05 11:32:13	22.0
2019-02-05 11:32:57	21.95
2019-02-05 11:33:10	22.0
2019-02-05 11:33:56	21.95
2019-02-05 11:34:13	22.0
2019-02-05 11:34:14	21.95
2019-02-05 11:34:20	22.0
2019-02-05 11:35:22	21.95
2019-02-05 11:35:31	22.0
2019-02-05 11:36:18	21.95
2019-02-05 11:36:28	22.0
2019-02-05 11:39:39	22.05
2019-02-05 11:41:29	22.1
