Time	data
2019-02-04 10:53:15	22.4
2019-02-04 10:53:39	22.35
2019-02-04 10:54:06	22.4
2019-02-04 10:54:54	22.35
2019-02-04 10:55:19	22.4
2019-02-04 10:55:47	22.35
2019-02-04 10:55:58	22.4
2019-02-04 10:56:26	22.35
2019-02-04 10:56:44	22.4
2019-02-04 10:58:03	22.35
2019-02-04 11:01:09	22.4
2019-02-04 11:01:52	22.35
2019-02-04 11:02:16	22.4
2019-02-04 11:05:21	22.35
2019-02-04 11:05:23	22.4
2019-02-04 11:06:20	22.35
2019-02-04 11:08:49	22.4
2019-02-04 11:09:30	22.45
2019-02-04 11:09:31	22.35
2019-02-04 11:09:49	22.4
2019-02-04 11:10:22	22.35
2019-02-04 11:10:49	22.4
2019-02-04 11:13:29	22.35
2019-02-04 11:13:49	22.4
2019-02-04 11:15:02	22.35
2019-02-04 11:15:14	22.4
2019-02-04 11:15:30	22.35
2019-02-04 11:15:55	22.4
2019-02-04 11:17:18	22.35
2019-02-04 11:18:20	22.3
2019-02-04 11:19:17	22.35
2019-02-04 11:21:25	22.3
2019-02-04 11:21:39	22.35
2019-02-04 11:21:44	22.4
2019-02-04 11:24:26	22.35
2019-02-04 11:24:55	22.3
2019-02-04 11:25:25	22.25
2019-02-04 11:28:19	22.35
2019-02-04 11:30:04	22.3
2019-02-04 11:30:25	22.25
2019-02-04 11:31:32	22.35
2019-02-04 11:35:14	22.3
2019-02-04 11:35:51	22.25
2019-02-04 11:40:35	22.3
2019-02-04 11:40:38	22.25
2019-02-04 11:44:44	22.3
2019-02-04 11:45:24	22.25
2019-02-04 11:46:19	22.3
2019-02-04 11:47:07	22.45
2019-02-04 11:47:25	22.4
2019-02-04 11:48:09	22.45
2019-02-04 11:48:14	22.4
2019-02-04 11:48:44	22.45
2019-02-04 11:51:10	22.4
2019-02-04 11:52:15	22.45
2019-02-04 11:52:39	22.4
2019-02-04 11:52:49	22.45
2019-02-04 11:55:39	22.4
2019-02-04 11:56:04	22.45
2019-02-04 11:57:27	22.4
2019-02-04 11:59:01	22.35
2019-02-04 12:00:05	22.4
2019-02-04 12:01:04	22.35
2019-02-04 12:04:05	22.4
2019-02-04 12:05:23	22.35
2019-02-04 12:06:11	22.4
2019-02-04 12:09:54	22.45
2019-02-04 12:10:13	22.35
2019-02-04 12:13:14	22.45
2019-02-04 12:14:02	22.4
2019-02-04 12:14:44	22.45
2019-02-04 12:14:58	22.4
2019-02-04 12:16:34	22.35
2019-02-04 12:18:44	22.4
2019-02-04 12:19:19	22.35
2019-02-04 12:19:44	22.4
2019-02-04 12:23:58	22.35
2019-02-04 12:24:54	22.4
2019-02-04 12:30:33	22.35
2019-02-04 12:30:39	22.4
2019-02-04 12:30:48	22.35
2019-02-04 12:30:54	22.4
2019-02-04 12:31:16	22.35
2019-02-04 12:34:45	22.4
2019-02-04 12:36:24	22.35
2019-02-04 12:36:54	22.3
2019-02-04 12:37:13	22.35
2019-02-04 12:39:21	22.3
2019-02-04 12:42:24	22.35
2019-02-04 12:42:35	22.4
2019-02-04 12:42:48	22.35
2019-02-04 12:46:20	22.3
2019-02-04 12:47:15	22.25
2019-02-04 12:48:11	22.3
2019-02-04 12:49:01	22.35
2019-02-04 12:49:42	22.4
2019-02-04 12:51:05	22.35
2019-02-04 12:51:54	22.4
2019-02-04 12:52:18	22.35
2019-02-04 12:52:20	22.4
2019-02-04 12:52:46	22.35
2019-02-04 12:52:49	22.4
2019-02-04 12:52:53	22.35
2019-02-04 12:53:07	22.4
2019-02-04 12:53:26	22.35
2019-02-04 12:53:37	22.4
2019-02-04 12:54:12	22.35
2019-02-04 12:54:16	22.4
2019-02-04 12:56:02	22.35
2019-02-04 12:56:07	22.4
2019-02-04 12:56:50	22.35
2019-02-04 12:57:35	22.3
2019-02-04 12:59:17	22.25
2019-02-04 12:59:55	22.3
2019-02-04 13:00:02	22.35
2019-02-04 13:02:03	22.3
2019-02-04 13:02:26	22.35
2019-02-04 13:04:02	22.3
2019-02-04 13:04:19	22.35
2019-02-04 13:04:25	22.3
2019-02-04 13:04:38	22.35
2019-02-04 13:04:50	22.3
2019-02-04 13:05:29	22.25
2019-02-04 13:05:48	22.35
2019-02-04 13:06:41	22.3
2019-02-04 13:07:52	22.35
2019-02-04 13:08:01	22.3
2019-02-04 13:09:08	22.35
2019-02-04 13:09:12	22.3
2019-02-04 13:09:13	22.35
2019-02-04 13:09:13	22.3
2019-02-04 13:09:14	22.35
2019-02-04 13:09:14	22.3
2019-02-04 13:09:29	22.35
2019-02-04 13:09:30	22.3
2019-02-04 13:09:31	22.35
2019-02-04 13:09:35	22.3
2019-02-04 13:09:37	22.35
2019-02-04 13:09:40	22.3
2019-02-04 13:09:44	22.35
2019-02-04 13:09:45	22.3
2019-02-04 13:09:48	22.35
2019-02-04 13:09:50	22.3
2019-02-04 13:09:51	22.35
2019-02-04 13:09:55	22.3
2019-02-04 13:09:56	22.35
2019-02-04 13:10:01	22.3
2019-02-04 13:10:03	22.35
2019-02-04 13:10:03	22.3
2019-02-04 13:10:07	22.35
2019-02-04 13:10:10	22.3
2019-02-04 13:10:12	22.35
