Time	data
2019-02-07 11:08:27	22.3
2019-02-07 11:10:51	22.25
2019-02-07 11:11:02	22.3
2019-02-07 11:11:03	22.25
2019-02-07 11:11:08	22.3
2019-02-07 11:11:08	22.25
2019-02-07 11:11:23	22.3
2019-02-07 11:11:52	22.25
2019-02-07 11:12:09	22.3
2019-02-07 11:12:13	22.25
2019-02-07 11:13:14	22.2
2019-02-07 11:13:33	22.25
2019-02-07 11:15:45	22.3
2019-02-07 11:16:32	22.2
2019-02-07 11:19:00	22.25
2019-02-07 11:19:25	22.2
2019-02-07 11:19:35	22.25
2019-02-07 11:21:02	22.2
2019-02-07 11:21:08	22.25
2019-02-07 11:21:57	22.2
2019-02-07 11:22:17	22.25
2019-02-07 11:22:18	22.2
2019-02-07 11:22:56	22.25
2019-02-07 11:24:22	22.3
2019-02-07 11:24:37	22.25
2019-02-07 11:24:58	22.3
2019-02-07 11:25:35	22.25
2019-02-07 11:25:36	22.3
2019-02-07 11:27:02	22.25
2019-02-07 11:28:01	22.3
2019-02-07 11:33:38	22.25
2019-02-07 11:35:53	22.3
2019-02-07 11:37:16	22.2
2019-02-07 11:37:46	22.25
2019-02-07 11:37:48	22.2
2019-02-07 11:41:17	22.3
2019-02-07 11:42:05	22.2
2019-02-07 11:46:02	22.3
2019-02-07 11:49:46	22.25
2019-02-07 11:50:32	22.3
2019-02-07 11:51:31	22.25
2019-02-07 11:52:06	22.3
2019-02-07 11:52:07	22.25
2019-02-07 11:52:16	22.3
2019-02-07 11:52:29	22.25
2019-02-07 11:53:17	22.3
2019-02-07 11:53:32	22.25
2019-02-07 11:53:48	22.3
2019-02-07 11:54:27	22.25
2019-02-07 11:54:48	22.3
2019-02-07 11:55:20	22.25
2019-02-07 11:55:27	22.3
2019-02-07 11:55:44	22.25
2019-02-07 11:55:50	22.3
2019-02-07 11:56:37	22.25
2019-02-07 11:57:00	22.2
2019-02-07 11:57:01	22.25
2019-02-07 11:57:16	22.2
2019-02-07 11:57:19	22.25
2019-02-07 11:58:29	22.2
2019-02-07 11:58:41	22.25
2019-02-07 11:59:07	22.2
2019-02-07 11:59:11	22.25
2019-02-07 11:59:13	22.2
2019-02-07 12:00:51	22.25
2019-02-07 12:01:30	22.2
2019-02-07 12:02:07	22.25
2019-02-07 12:03:53	22.2
2019-02-07 12:04:16	22.25
2019-02-07 12:04:39	22.2
2019-02-07 12:04:55	22.25
2019-02-07 12:05:01	22.15
2019-02-07 12:05:26	22.2
2019-02-07 12:06:39	21.95
2019-02-07 12:06:41	22.0
2019-02-07 12:06:42	21.95
2019-02-07 12:06:43	22.0
2019-02-07 12:06:46	21.95
2019-02-07 12:06:47	22.0
2019-02-07 12:09:13	22.05
2019-02-07 12:09:29	22.1
2019-02-07 12:09:56	22.15
2019-02-07 12:09:58	22.1
2019-02-07 12:10:28	22.15
2019-02-07 12:10:34	22.1
2019-02-07 12:11:00	22.15
2019-02-07 12:11:47	22.2
2019-02-07 12:12:18	22.15
2019-02-07 12:12:44	22.2
2019-02-07 12:13:26	22.15
2019-02-07 12:13:36	22.1
2019-02-07 12:13:43	22.15
2019-02-07 12:14:07	22.2
2019-02-07 12:14:09	22.15
