Time	data
2019-02-06 10:58:26	21.4
2019-02-06 10:58:34	21.45
2019-02-06 10:59:05	21.4
2019-02-06 10:59:35	21.45
2019-02-06 10:59:39	21.4
2019-02-06 11:00:05	21.45
2019-02-06 11:01:27	21.4
2019-02-06 11:01:37	21.45
2019-02-06 11:01:45	21.4
2019-02-06 11:02:10	21.45
2019-02-06 11:03:23	21.5
2019-02-06 11:03:26	21.55
2019-02-06 11:04:45	21.5
2019-02-06 11:05:05	21.55
2019-02-06 11:05:55	21.6
2019-02-06 11:06:10	21.55
2019-02-06 11:08:10	21.6
2019-02-06 11:09:07	21.55
2019-02-06 11:09:14	21.6
2019-02-06 11:09:14	21.55
2019-02-06 11:09:20	21.6
2019-02-06 11:09:20	21.55
2019-02-06 11:10:40	21.6
2019-02-06 11:16:46	21.55
2019-02-06 11:19:02	21.6
2019-02-06 11:20:11	21.55
2019-02-06 11:20:44	21.6
2019-02-06 11:22:39	21.55
2019-02-06 11:22:57	21.6
2019-02-06 11:23:55	21.55
2019-02-06 11:24:10	21.6
2019-02-06 11:25:30	21.55
2019-02-06 11:26:06	21.6
2019-02-06 11:26:24	21.55
2019-02-06 11:28:43	21.6
2019-02-06 11:29:23	21.55
2019-02-06 11:31:35	21.6
2019-02-06 11:31:45	21.55
2019-02-06 11:32:08	21.6
2019-02-06 11:32:22	21.55
2019-02-06 11:32:35	21.6
2019-02-06 11:35:13	21.55
2019-02-06 11:35:35	21.6
2019-02-06 11:35:38	21.55
2019-02-06 11:36:17	21.6
2019-02-06 11:36:58	21.55
2019-02-06 11:37:19	21.6
2019-02-06 11:38:41	21.65
2019-02-06 11:38:45	21.7
2019-02-06 11:38:49	21.75
2019-02-06 11:38:59	21.7
2019-02-06 11:39:00	21.75
2019-02-06 11:39:10	21.7
2019-02-06 11:39:27	21.65
2019-02-06 11:39:31	21.7
2019-02-06 11:39:34	21.75
2019-02-06 11:39:42	21.7
2019-02-06 11:39:46	21.65
2019-02-06 11:39:48	21.7
2019-02-06 11:40:15	21.65
2019-02-06 11:40:26	21.7
2019-02-06 11:40:54	21.65
2019-02-06 11:40:56	21.6
2019-02-06 11:41:00	21.65
2019-02-06 11:41:02	21.7
2019-02-06 11:42:03	21.6
2019-02-06 11:42:06	21.7
2019-02-06 11:43:05	21.65
2019-02-06 11:43:31	21.7
2019-02-06 11:43:52	21.65
2019-02-06 11:49:33	21.6
2019-02-06 11:51:10	21.65
2019-02-06 11:52:54	21.55
2019-02-06 11:59:10	21.6
2019-02-06 12:00:53	21.55
2019-02-06 12:01:00	21.6
2019-02-06 12:01:22	21.55
2019-02-06 12:04:25	21.6
2019-02-06 12:04:57	21.55
2019-02-06 12:09:39	21.6
2019-02-06 12:10:10	21.55
2019-02-06 12:10:12	21.6
2019-02-06 12:10:13	21.55
2019-02-06 12:10:14	21.6
2019-02-06 12:10:14	21.55
2019-02-06 12:10:15	21.6
2019-02-06 12:10:15	21.55
2019-02-06 12:10:15	21.6
2019-02-06 12:10:16	21.55
2019-02-06 12:10:48	21.5
2019-02-06 12:11:31	21.55
2019-02-06 12:12:08	21.4
2019-02-06 12:12:23	21.5
2019-02-06 12:12:59	21.55
2019-02-06 12:13:27	21.5
2019-02-06 12:15:10	21.45
2019-02-06 12:15:16	21.4
2019-02-06 12:15:20	21.45
2019-02-06 12:15:34	21.5
2019-02-06 12:16:47	21.45
2019-02-06 12:17:15	21.5
2019-02-06 12:18:58	21.55
2019-02-06 12:19:10	21.6
2019-02-06 12:20:39	21.5
2019-02-06 12:20:48	21.55
2019-02-06 12:24:20	21.5
2019-02-06 12:24:50	21.55
2019-02-06 12:24:53	21.5
2019-02-06 12:25:37	21.55
2019-02-06 12:28:23	21.6
2019-02-06 12:29:24	21.5
2019-02-06 12:34:00	21.55
2019-02-06 12:34:42	21.5
2019-02-06 12:36:32	21.45
2019-02-06 12:36:45	21.5
2019-02-06 12:37:09	21.45
2019-02-06 12:40:15	21.5
2019-02-06 12:41:31	21.45
2019-02-06 12:41:35	21.5
2019-02-06 12:43:51	21.45
2019-02-06 12:44:00	21.5
2019-02-06 12:45:16	21.45
2019-02-06 12:45:50	21.55
2019-02-06 12:46:00	21.5
2019-02-06 12:46:21	21.45
2019-02-06 12:46:22	21.5
2019-02-06 12:47:36	21.45
2019-02-06 12:47:37	21.5
2019-02-06 12:55:13	21.55
2019-02-06 12:57:20	21.6
2019-02-06 12:59:08	21.65
2019-02-06 12:59:09	21.7
2019-02-06 12:59:14	21.65
2019-02-06 12:59:18	21.7
2019-02-06 12:59:19	21.65
2019-02-06 12:59:23	21.6
2019-02-06 12:59:35	21.65
2019-02-06 13:00:12	21.7
2019-02-06 13:00:15	21.65
2019-02-06 13:00:26	21.7
2019-02-06 13:02:16	21.65
2019-02-06 13:02:33	21.6
2019-02-06 13:02:40	21.65
2019-02-06 13:03:21	21.6
2019-02-06 13:04:13	21.55
2019-02-06 13:04:43	21.6
2019-02-06 13:08:35	21.55
2019-02-06 13:10:16	21.6
2019-02-06 13:11:03	21.65
2019-02-06 13:15:29	21.55
2019-02-06 13:19:05	21.6
2019-02-06 13:21:34	21.55
2019-02-06 13:24:45	21.6
2019-02-06 13:25:43	21.55
2019-02-06 13:30:35	21.6
2019-02-06 13:31:13	21.55
2019-02-06 13:34:54	21.6
2019-02-06 13:38:18	21.55
2019-02-06 13:38:51	21.6
2019-02-06 13:38:52	21.55
2019-02-06 13:41:15	21.6
2019-02-06 13:43:11	21.55
2019-02-06 13:43:26	21.6
2019-02-06 13:43:32	21.5
2019-02-06 13:44:01	21.55
2019-02-06 13:45:06	21.6
2019-02-06 13:45:30	21.55
2019-02-06 13:46:50	21.6
2019-02-06 13:51:12	21.55
2019-02-06 13:51:26	21.6
2019-02-06 13:53:54	21.55
2019-02-06 13:53:55	21.6
2019-02-06 13:55:12	21.55
2019-02-06 13:55:18	21.6
2019-02-06 13:55:35	21.55
2019-02-06 13:58:25	21.6
2019-02-06 13:59:10	21.55
2019-02-06 14:02:30	21.6
2019-02-06 14:02:59	21.55
